x	mu	sigma_90	sigma_95	sigma_99	muPlus90	muMinus90	muPlus95	muMinus95	muPlus99	muMinus99	sample1	sample2	sample3
1.45000	-1.6741890500	1.0653888800	1.2655528500	1.6658807900	-0.6088001700	-2.7395779300	-0.4086362000	-2.9397419000	-0.0083082600	-3.3400698400	-2.0220947500	-0.9535814030	-1.6526753900
1.50000	-1.6746967400	1.1088844600	1.3172203300	1.7338920700	-0.5658122800	-2.7835812000	-0.3574764100	-2.9919170700	0.0591953300	-3.4085888100	-2.0296169500	-0.8996776140	-1.6791582400
1.55000	-1.6683955500	1.1531823300	1.3698408300	1.8031578200	-0.5152132200	-2.8215778800	-0.2985547200	-3.0382363800	0.1347622700	-3.4715533700	-2.0307868800	-0.8390684230	-1.7000310400
1.60000	-1.6555945200	1.1978286900	1.4228752900	1.8729685000	-0.4577658300	-2.8534232100	-0.2327192300	-3.0784698100	0.2173739800	-3.5285630200	-2.0255069200	-0.7724440490	-1.7157576000
1.65000	-1.6366525900	1.2423976200	1.4758177800	1.9426581000	-0.3942549700	-2.8790502100	-0.1608348100	-3.1124703700	0.3060055100	-3.5793106900	-2.0137290900	-0.7005589110	-1.7268656500
1.70000	-1.6119720400	1.2864978600	1.5282035200	2.0116148300	-0.3254741800	-2.8984699000	-0.0837685200	-3.1401755600	0.3996427900	-3.6235868700	-1.9954629300	-0.6242189010	-1.7339303800
1.75000	-1.5819916500	1.3297771500	1.5796140700	2.0792879000	-0.2522145000	-2.9117688000	-0.0023775800	-3.1616057200	0.4972962500	-3.6612795500	-1.9707791400	-0.5442721160	-1.7375575400
1.80000	-1.5471798300	1.3719247400	1.6296803000	2.1451914100	-0.1752550900	-2.9191045700	0.0825004700	-3.1768601300	0.5980115800	-3.6923712400	-1.9398142100	-0.4615962060	-1.7383660500
1.85000	-1.5080276600	1.4126724000	1.6780835800	2.2089059400	-0.0953552600	-2.9207000600	0.1700559200	-3.1861112400	0.7008782800	-3.7169336000	-1.9027727400	-0.3770886970	-1.7369717900
1.90000	-1.4650420600	1.4517942800	1.7245556200	2.2700783200	-0.0132477800	-2.9168363400	0.2595135600	-3.1895976800	0.8050362600	-3.7351203800	-1.8599292000	-0.2916552110	-1.7339699800
1.95000	-1.4187391900	1.4891058800	1.7688772900	2.3284201000	0.0703666900	-2.9078450700	0.3501381000	-3.1876164800	0.9096809100	-3.7471592900	-1.8116276200	-0.2062016070	-1.7299209800
2.00000	-1.3696380800	1.5244624000	1.8108765500	2.3837048400	0.1548243200	-2.8941004800	0.4412384700	-3.1805146300	1.0140667600	-3.7533429200	-1.7582796100	-0.1216221340	-1.7253355600
2.05000	-1.3182546600	1.5577564700	1.8504258700	2.4357646600	0.2395018100	-2.8760111300	0.5321712100	-3.1686805300	1.1175100000	-3.7540193200	-1.7003612700	-0.0387922261	-1.7206628900
2.10000	-1.2650961400	1.5889155100	1.8874390300	2.4844860700	0.3238193700	-2.8540116500	0.6223428900	-3.1525351700	1.2193899300	-3.7495822100	-1.6384082300	0.0414408960	-1.7162799500
2.15000	-1.2106559700	1.6178987600	1.9218676100	2.5298053300	0.4072427900	-2.8285547300	0.7112116400	-3.1325235800	1.3191493600	-3.7404613000	-1.5730093700	0.1182655680	-1.7124828700
2.20000	-1.1554092400	1.6446940500	1.9536971700	2.5717034200	0.4892848100	-2.8001032900	0.7982879300	-3.1091064100	1.4162941800	-3.7271126600	-1.5047998100	0.1909141000	-1.7094814100
2.25000	-1.0998086100	1.6693144500	1.9829432300	2.6102007800	0.5695058400	-2.7691230600	0.8831346200	-3.0827518400	1.5103921700	-3.7100093900	-1.4344514400	0.2586685000	-1.7073951900
2.30000	-1.0442808600	1.6917947600	2.0096471000	2.6453518000	0.6475139000	-2.7360756200	0.9653662400	-3.0539279600	1.6010709400	-3.6896326600	-1.3626645100	0.3208687120	-1.7062527500
2.35000	-0.9892239400	1.7121879200	2.0338717100	2.6772392900	0.7229639800	-2.7014118600	1.0446477700	-3.0230956500	1.6880153500	-3.6664632300	-1.2901562600	0.3769171730	-1.7059937100
2.40000	-0.9350046300	1.7305615500	2.0556973600	2.7059689800	0.7955569200	-2.6655661800	1.1206927300	-2.9907019900	1.7709643500	-3.6409736100	-1.2176505900	0.4262858390	-1.7064720400
2.45000	-0.8819566800	1.7469944300	2.0752176200	2.7316640100	0.8650377500	-2.6289511100	1.1932609400	-2.9571743000	1.8497073300	-3.6136206900	-1.1458674600	0.4685203300	-1.7074634300
2.50000	-0.8303794900	1.7615730700	2.0925352800	2.7544597000	0.9311935800	-2.5919525600	1.2621557900	-2.9229147700	1.9240802100	-3.5848391900	-1.0755109200	0.5032454850	-1.7086743000
2.55000	-0.7805373200	1.7743885400	2.1077585100	2.7744984400	0.9938512200	-2.5549258600	1.3272211900	-2.8882958300	1.9939611200	-3.5550357600	-1.0072591000	0.5301683960	-1.7097531100
2.60000	-0.7326588800	1.7855333700	2.1209972200	2.7919249100	1.0528744900	-2.5181922500	1.3883383400	-2.8536561000	2.0592660300	-3.5245837900	-0.9417530030	0.5490816420	-1.7103020400
2.65000	-0.6869373800	1.7950987300	2.1323597000	2.8068816500	1.1081613500	-2.4820361100	1.4454223200	-2.8192970800	2.1199442700	-3.4938190300	-0.8795870400	0.5598668870	-1.7098926800
2.70000	-0.6435309100	1.8031718000	2.1419495300	2.8195049900	1.1596408900	-2.4467027100	1.4984186200	-2.7854804400	2.1759740800	-3.4630359000	-0.8212996740	0.5624946420	-1.7080800200
2.75000	-0.6025631700	1.8098334900	2.1498628200	2.8299214600	1.2072703200	-2.4123966600	1.5472996500	-2.7524259900	2.2273582900	-3.4324846300	-0.7673652630	0.5570261820	-1.7044187700
2.80000	-0.5641244500	1.8151564300	2.1561858200	2.8382445900	1.2510319800	-2.3792808800	1.5920613700	-2.7203102700	2.2741201400	-3.4023690400	-0.7181869480	0.5436124780	-1.6984791100
2.85000	-0.5282729000	1.8192032000	2.1609928900	2.8445722700	1.2909303000	-2.3474761000	1.6327199900	-2.6892657900	2.3162993700	-3.3728451700	-0.6740909450	0.5224929240	-1.6898613700
2.90000	-0.4950359000	1.8220250200	2.1643448700	2.8489845800	1.3269891200	-2.3170609200	1.6693089700	-2.6593807700	2.3539486800	-3.3440204800	-0.6353216290	0.4939930660	-1.6782114400
2.95000	-0.4644116700	1.8236606700	2.1662878300	2.8515421400	1.3592490000	-2.2880723400	1.7018761600	-2.6306995000	2.3871304700	-3.3159538100	-0.6020387710	0.4585206570	-1.6632324700
3.00000	-0.4363709400	1.8241357800	2.1668522000	2.8522850400	1.3877648400	-2.2605067200	1.7304812600	-2.6032231400	2.4159141000	-3.2886559800	-0.5743156960	0.4165618790	-1.6446969900
3.05000	-0.4108587400	1.8234624700	2.1660523900	2.8512322200	1.4126037300	-2.2343212100	1.7551936500	-2.5769111300	2.4403734800	-3.2620909600	-0.5521389140	0.3686755910	-1.6224552500
3.10000	-0.3877961900	1.8216393000	2.1638866800	2.8483814500	1.4338431100	-2.2094354900	1.7760904900	-2.5516828700	2.4605852600	-3.2361776400	-0.5354095950	0.3154865960	-1.5964412200
3.15000	-0.3670824400	1.8186515700	2.1603376200	2.8437097200	1.4515691300	-2.1857340100	1.7932551800	-2.5274200600	2.4766272800	-3.2107921600	-0.5239467530	0.2576797370	-1.5666766400
