x	mu	sample1	sample2	sample3	sample4	sample5
3.9500000000	0.0000000000	1.4878032600	1.9615517400	-2.2943805300	0.0443424786	-4.8116595500
4.0000000000	0.0000000000	1.4727557700	1.9670042300	-2.4335446300	0.0756020658	-4.7933717400
4.0500000000	0.0000000000	1.4527943500	1.9694065200	-2.5740633200	0.1051275150	-4.7730908000
4.1000000000	0.0000000000	1.4279656000	1.9688042100	-2.7154154500	0.1328515590	-4.7512131500
4.1500000000	0.0000000000	1.3983370900	1.9652513000	-2.8570576400	0.1587247800	-4.7281084000
4.2000000000	0.0000000000	1.3639992700	1.9588054600	-2.9984292000	0.1827156870	-4.7041166300
4.2500000000	0.0000000000	1.3250630300	1.9495292200	-3.1389528900	0.2048108600	-4.6795458000
4.3000000000	0.0000000000	1.2816606900	1.9374882900	-3.2780421300	0.2250146840	-4.6546684600
4.3500000000	0.0000000000	1.2339436200	1.9227503000	-3.4151026100	0.2433479810	-4.6297214500
4.4000000000	0.0000000000	1.1820827200	1.9053858500	-3.5495373700	0.2598470760	-4.6049030700
4.4500000000	0.0000000000	1.1262662300	1.8854659200	-3.6807499700	0.2745648370	-4.5803746900
4.5000000000	0.0000000000	1.0666984400	1.8630622200	-3.8081506200	0.2875660880	-4.5562591800
4.5500000000	0.0000000000	1.0035990600	1.8382469300	-3.9311584200	0.2989274090	-4.5326422700
4.6000000000	0.0000000000	0.9372021700	1.8110919700	-4.0492052900	0.3087359450	-4.5095745400
4.6500000000	0.0000000000	0.8677523600	1.7816704300	-4.1617416600	0.3170852620	-4.4870720100
4.7000000000	0.0000000000	0.7955070500	1.7500552300	-4.2682394900	0.3240748800	-4.4651185200
4.7500000000	0.0000000000	0.7207308300	1.7163189700	-4.3681950300	0.3298091730	-4.4436701300
4.8000000000	0.0000000000	0.6436978000	1.6805368300	-4.4611336100	0.3343922520	-4.4226550000
4.8500000000	0.0000000000	0.5646864200	1.6427849200	-4.5466124400	0.3379294720	-4.4019811300
4.9000000000	0.0000000000	0.4839812300	1.6031421100	-4.6242233800	0.3405221950	-4.3815358300
4.9500000000	0.0000000000	0.4018694400	1.5616904700	-4.6935956300	0.3422689490	-4.3611911300
5.0000000000	0.0000000000	0.3186404800	1.5185171000	-4.7543985500	0.3432618470	-4.3408094300
5.0500000000	0.0000000000	0.2345849000	1.4737130800	-4.8063432800	0.3435878270	-4.3202431400
5.1000000000	0.0000000000	0.1499922500	1.4273779100	-4.8491835000	0.3433239510	-4.2993438700
5.1500000000	0.0000000000	0.0651510000	1.3796176900	-4.8827192400	0.3425403620	-4.2779613900
5.2000000000	0.0000000000	-0.0196525100	1.3305470500	-4.9067953100	0.3412974470	-4.2559511100
5.2500000000	0.0000000000	-0.1041341400	1.2802914300	-4.9213034800	0.3396466600	-4.2331742100
5.3000000000	0.0000000000	-0.1880154200	1.2289861900	-4.9261813500	0.3376300680	-4.2095034100
5.3500000000	0.0000000000	-0.2710210200	1.1767779600	-4.9214136100	0.3352814300	-4.1848243000
5.4000000000	0.0000000000	-0.3528812700	1.1238269400	-4.9070305800	0.3326260050	-4.1590386700
5.4500000000	0.0000000000	-0.4333310000	1.0703045100	-4.8831080100	0.3296822680	-4.1320656900
5.5000000000	0.0000000000	-0.5121126300	1.0163952100	-4.8497656700	0.3264612790	-4.1038434500
5.5500000000	0.0000000000	-0.5889737200	0.9622963870	-4.8071655200	0.3229696890	-4.0743321900
5.6000000000	0.0000000000	-0.6636707100	0.9082178350	-4.7555116100	0.3192094810	-4.0435122300
5.6500000000	0.0000000000	-0.7359652100	0.8543810320	-4.6950457400	0.3151806420	-4.0113867300
5.7000000000	0.0000000000	-0.8056292600	0.8010176910	-4.6260482700	0.3108808450	-3.9779797000
5.7500000000	0.0000000000	-0.8724422900	0.7483697540	-4.5488339100	0.3063082200	-3.9433373800
5.8000000000	0.0000000000	-0.9361936100	0.6966860040	-4.4637486200	0.3014621670	-3.9075263300
5.8500000000	0.0000000000	-0.9966825800	0.6462226630	-4.3711699200	0.2963430800	-3.8706324500
5.9000000000	0.0000000000	-1.0537199000	0.5972387670	-4.2715019600	0.2909549630	-3.8327592100
5.9500000000	0.0000000000	-1.1071286900	0.5499942950	-4.1651731700	0.2853052610	-3.7940266000
6.0000000000	0.0000000000	-1.1567435300	0.5047487390	-4.0526344200	0.2794062360	-3.7545692600
6.0500000000	0.0000000000	-1.2024156700	0.4617577590	-3.9343559500	0.2732735550	-3.7145330200
6.1000000000	0.0000000000	-1.2440099800	0.4212683960	-3.8108235000	0.2669285450	-3.6740738900
6.1500000000	0.0000000000	-1.2814082800	0.3835189790	-3.6825374200	0.2603957480	-3.6333549000
6.2000000000	0.0000000000	-1.3145097500	0.3487335310	-3.5500097700	0.2537036540	-3.5925449700
6.2500000000	0.0000000000	-1.3432339100	0.3171192270	-3.4137603200	0.2468838830	-3.5518148100
6.3000000000	0.0000000000	-1.3675194700	0.2888643630	-3.2743161800	0.2399689470	-3.5113359700
6.3500000000	0.0000000000	-1.3873269500	0.2641348550	-3.1322077000	0.2329929810	-3.4712770400
6.4000000000	0.0000000000	-1.4026385700	0.2430700060	-2.9879677700	0.2259883110	-3.4318042100
6.4500000000	0.0000000000	-1.4134607700	0.2257824640	-2.8421278300	0.2189853820	-3.3930760800
6.5000000000	0.0000000000	-1.4198229400	0.2123536270	-2.6952178500	0.2120094210	-3.3552437900
6.5500000000	0.0000000000	-1.4217797500	0.2028339150	-2.5477633900	0.2050805430	-3.3184490800
6.6000000000	0.0000000000	-1.4194103700	0.1972400460	-2.4002830800	0.1982108520	-3.2828228000
6.6500000000	0.0000000000	-1.4128175300	0.1955535720	-2.2532897500	0.1914023710	-3.2484836400
6.7000000000	0.0000000000	-1.4021302600	0.1977208810	-2.1072855200	0.1846459480	-3.2155369800
6.7500000000	0.0000000000	-1.3874997400	0.2036538310	-1.9627621500	0.1779194090	-3.1840741900
6.8000000000	0.0000000000	-1.3691004300	0.2132277410	-1.8201995700	0.1711875000	-3.1541727700
6.8500000000	0.0000000000	-1.3471286600	0.2262851290	-1.6800638700	0.1643987370	-3.1258949400
6.9000000000	0.0000000000	-1.3218005700	0.2426345780	-1.5428076800	0.1574856940	-3.0992871200
6.9500000000	0.0000000000	-1.2933507000	0.2620538750	-1.4088667000	0.1503649400	-3.0743813300
7.0000000000	0.0000000000	-1.2620293400	0.2842914410	-1.2786610600	0.1429371170	-3.0511947900
7.0500000000	0.0000000000	-1.2281021000	0.3090698260	-1.1525919300	0.1350855420	-3.0297286300
7.1000000000	0.0000000000	-1.1918434300	0.3360876640	-1.0310426600	0.1266791010	-3.0099698000
7.1500000000	0.0000000000	-1.1535386100	0.3650237590	-0.9143760950	0.1175723700	-2.9918909900
7.2000000000	0.0000000000	-1.1134775000	0.3955408270	-0.8029349340	0.1076069540	-2.9754500100
7.2500000000	0.0000000000	-1.0719532600	0.4272881050	-0.6970394310	0.0966145976	-2.9605918900
7.3000000000	0.0000000000	-1.0292588900	0.4599071830	-0.5969878430	0.0844178466	-2.9472475600
7.3500000000	0.0000000000	-0.9856850700	0.4930334970	-0.5030542560	0.0708343782	-2.9353350100
7.4000000000	0.0000000000	-0.9415165700	0.5263035850	-0.4154878680	0.0556793958	-2.9247598500
7.4500000000	0.0000000000	-0.8970291100	0.5593552950	-0.3345133920	0.0387688665	-2.9154151000
7.5000000000	0.0000000000	-0.8524895000	0.5918363830	-0.2603282100	0.0199231105	-2.9071820900
7.5500000000	0.0000000000	-0.8081502300	0.6234034170	-0.1931024900	-0.0010293184	-2.8999307600
7.6000000000	0.0000000000	-0.7642503600	0.6537292210	-0.1329781750	-0.0242488423	-2.8935176900
7.6500000000	0.0000000000	-0.7210120900	0.6825026980	-0.0800679990	-0.0498785054	-2.8877909000
7.7000000000	0.0000000000	-0.6786402700	0.7094352190	-0.0344550794	-0.0780449087	-2.8825865400
7.7500000000	0.0000000000	-0.6373217500	0.7342599560	0.0038090878	-0.1088493320	-2.8777299400
7.8000000000	0.0000000000	-0.5972248800	0.7567363010	0.0347033679	-0.1423682600	-2.8730367700
7.8500000000	0.0000000000	-0.5584986900	0.7766507220	0.0582399578	-0.1786489040	-2.8683130700
7.9000000000	0.0000000000	-0.5212744500	0.7938177350	0.0744627270	-0.2177066530	-2.8633560600
7.9500000000	0.0000000000	-0.4856650200	0.8080815990	0.0834489485	-0.2595227630	-2.8579551500
8.0000000000	0.0000000000	-0.4517664500	0.8193159590	0.0853084916	-0.3040425580	-2.8518911800
8.0500000000	0.0000000000	-0.4196594600	0.8274238640	0.0801851206	-0.3511754300	-2.8449394000
8.1000000000	0.0000000000	-0.3894095400	0.8323386150	0.0682565566	-0.4007912110	-2.8368703500
8.1500000000	0.0000000000	-0.3610705600	0.8340212900	0.0497316614	-0.4527231930	-2.8274504700
8.2000000000	0.0000000000	-0.3346848100	0.8324604010	0.0248543086	-0.5067673670	-2.8164437300
8.2500000000	0.0000000000	-0.3102859100	0.8276711750	-0.0061025803	-0.5626837210	-2.8036135800
8.3000000000	0.0000000000	-0.2878997000	0.8196920470	-0.0428319811	-0.6201971780	-2.7887262700
8.3500000000	0.0000000000	-0.2675466700	0.8085845480	-0.0849987227	-0.6790015650	-2.7715506000
8.4000000000	0.0000000000	-0.2492445100	0.7944309650	-0.1322395540	-0.7387614040	-2.7518622800
8.4500000000	0.0000000000	-0.2330066400	0.7773298750	-0.1841626920	-0.7991163910	-2.7294464100
8.5000000000	0.0000000000	-0.2188473300	0.7573982630	-0.2403516700	-0.8596840780	-2.7040990000
8.5500000000	0.0000000000	-0.2067802600	0.7347644720	-0.3003668780	-0.9200648930	-2.6756307000
8.6000000000	0.0000000000	-0.1968202000	0.7095693410	-0.3637485190	-0.9798476110	-2.6438695800
8.6500000000	0.0000000000	-0.1889834600	0.6819617460	-0.4300168990	-1.0386137500	-2.6086635000
8.7000000000	0.0000000000	-0.1832870300	0.6520993250	-0.4986780250	-1.0959419500	-2.5698844600
8.7500000000	0.0000000000	-0.1797496400	0.6201425750	-0.5692229830	-1.1514152500	-2.5274303300
8.8000000000	0.0000000000	-0.1783916600	0.5862571070	-0.6411346170	-1.2046247800	-2.4812268600
8.8500000000	0.0000000000	-0.1792325100	0.5506091760	-0.7138884280	-1.2551757800	-2.4312330000
8.9000000000	0.0000000000	-0.1822903800	0.5133658090	-0.7869558260	-1.3026922100	-2.3774404600
8.9500000000	0.0000000000	-0.1875810400	0.4746925530	-0.8598076150	-1.3468223900	-2.3198784400
9.0000000000	0.0000000000	-0.1951157400	0.4347543550	-0.9319190300	-1.3872424700	-2.2586126200
9.0500000000	0.0000000000	-0.2048993400	0.3937130630	-1.0027705300	-1.4236619200	-2.1937498900
9.1000000000	0.0000000000	-0.2169289300	0.3517267170	-1.0718524700	-1.4558250400	-2.1254365900
9.1500000000	0.0000000000	-0.2311905600	0.3089527180	-1.1386689600	-1.4835165700	-2.0538614900
9.2000000000	0.0000000000	-0.2476591000	0.2655433230	-1.2027397700	-1.5065607600	-1.9792541700
9.2500000000	0.0000000000	-0.2662937100	0.2216485930	-1.2636049200	-1.5248266000	-1.9018862700
9.3000000000	0.0000000000	-0.2870381300	0.1774157740	-1.3208267900	-1.5382270400	-1.8220701100
9.3500000000	0.0000000000	-0.3098177400	0.1329903460	-1.3739925100	-1.5467192000	-1.7401570000
9.4000000000	0.0000000000	-0.3345388100	0.0885159051	-1.4227188300	-1.5503041400	-1.6565365500
9.4500000000	0.0000000000	-0.3610870900	0.0441347752	-1.4666514500	-1.5490266900	-1.5716325500
9.5000000000	0.0000000000	-0.3893267600	-0.0000102823	-1.5054702100	-1.5429734400	-1.4859021000
9.5500000000	0.0000000000	-0.4190994700	-0.0437776181	-1.5388886400	-1.5322684200	-1.3998315400
9.6000000000	0.0000000000	-0.4502266300	-0.0870224401	-1.5666575400	-1.5170736000	-1.3139319900
9.6500000000	0.0000000000	-0.4825071200	-0.1296010240	-1.5885656700	-1.4975832500	-1.2287360700
9.7000000000	0.0000000000	-0.5157203600	-0.1713646360	-1.6044392100	-1.4740188800	-1.1447934800
9.7500000000	0.0000000000	-0.5496266300	-0.2121640540	-1.6141461100	-1.4466281300	-1.0626653200
9.8000000000	0.0000000000	-0.5839688100	-0.2518466510	-1.6175932700	-1.4156774100	-0.9829197500
9.8500000000	0.0000000000	-0.6184752900	-0.2902570010	-1.6147281500	-1.3814486400	-0.9061258100
9.9000000000	0.0000000000	-0.6528629600	-0.3272355290	-1.6055395400	-1.3442332200	-0.8328490200
9.9500000000	0.0000000000	-0.6868398100	-0.3626212920	-1.5900545600	-1.3043277400	-0.7636458100
10.0000000000	0.0000000000	-0.7201078200	-0.3962500850	-1.5683404600	-1.2620292000	-0.6990566400
10.0500000000	0.0000000000	-0.7523682000	-0.4279550870	-1.5405017700	-1.2176289000	-0.6396022700
10.1000000000	0.0000000000	-0.7833229300	-0.4575698010	-1.5066812900	-1.1714105100	-0.5857774700
10.1500000000	0.0000000000	-0.8126815200	-0.4849258170	-1.4670565300	-1.1236437900	-0.5380463400
10.2000000000	0.0000000000	-0.8401630800	-0.5098563600	-1.4218383500	-1.0745813700	-0.4968372100
10.2500000000	0.0000000000	-0.8655010300	-0.5321959920	-1.3712702500	-1.0244559400	-0.4625394900
10.3000000000	0.0000000000	-0.8884464700	-0.5517826890	-1.3156245800	-0.9734769980	-0.4354964500
10.3500000000	0.0000000000	-0.9087721900	-0.5684590520	-1.2552028200	-0.9218297850	-0.4160055500
10.4000000000	0.0000000000	-0.9262772500	-0.5820752430	-1.1903300800	-0.8696716240	-0.4043126200
10.4500000000	0.0000000000	-0.9407867600	-0.5924880500	-1.1213554700	-0.8171339570	-0.4006103200
10.5000000000	0.0000000000	-0.9521584200	-0.5995652770	-1.0486478100	-0.7643194000	-0.4050357500
10.5500000000	0.0000000000	-0.9602822000	-0.6031860910	-0.9725933940	-0.7113036680	-0.4176684300
10.6000000000	0.0000000000	-0.9650825000	-0.6032443180	-0.8935949730	-0.6581362030	-0.4385315500
10.6500000000	0.0000000000	-0.9665191800	-0.5996482130	-0.8120665200	-0.6048413160	-0.4675883300
10.7000000000	0.0000000000	-0.9645889100	-0.5923244950	-0.7284321970	-0.5514203020	-0.5047450700
10.7500000000	0.0000000000	-0.9593234700	-0.5812189100	-0.6431239900	-0.4978551400	-0.5498507000
10.8000000000	0.0000000000	-0.9507900800	-0.5662976650	-0.5565781550	-0.4441101080	-0.6026986000
10.8500000000	0.0000000000	-0.9390902300	-0.5475507650	-0.4692334770	-0.3901354370	-0.6630276700
10.9000000000	0.0000000000	-0.9243564400	-0.5249916620	-0.3815283820	-0.3358711060	-0.7305267300
10.9500000000	0.0000000000	-0.9067506000	-0.4986584680	-0.2938993010	-0.2812509500	-0.8048343100
11.0000000000	0.0000000000	-0.8864613100	-0.4686171590	-0.2067770500	-0.2262049110	-0.8855453600
11.0500000000	0.0000000000	-0.8636993100	-0.4349595950	-0.1205855180	-0.1706656440	-0.9722120400
11.1000000000	0.0000000000	-0.8386946900	-0.3978063160	-0.0357393038	-0.1145703300	-1.0643491000
11.1500000000	0.0000000000	-0.8116912300	-0.3573057680	0.0473582484	-0.0578636565	-1.1614379300
11.2000000000	0.0000000000	-0.7829433800	-0.3136343210	0.1283167860	-0.0005048018	-1.2629312700
