x		y
0		0.464419
0		0.460674
0		0.456929
0		0.453184
0		0.449438
0		0.445693
0		0.441948
0		0.438202
0		0.434457
0		0.430712
0		0.426966
0		0.423221
0		0.419476
0		0.41573
0		0.411985
0		0.40824
0		0.404494
0		0.400749
0		0.397004
0		0.393258
0		0.389513
0		0.385768
0		0.382022
0		0.378277
0		0.374532
0		0.370787
0		0.367041
0		0.363296
0		0.359551
0		0.355805
0		0.35206
0		0.348315
0		0.344569
0		0.340824
0		0.337079
0		0.333333
0		0.329588
0		0.325843
0		0.322097
0		0.318352
0		0.314607
0		0.310861
0		0.307116
0		0.303371
0		0.299625
0		0.29588
0		0.292135
0		0.28839
0		0.284644
0		0.280899
0		0.277154
0		0.273408
0		0.269663
0		0.265918
0		0.262172
0		0.254682
0		0.250936
0		0.247191
0		0.243446
0		0.2397
0		0.235955
0		0.23221
0		0.228464
0		0.224719
0		0.220974
0		0.217228
0		0.213483
0		0.209738
0		0.202247
0		0.194757
0		0.191011
0		0.187266
0		0.183521
0		0.179775
0		0.17603
0		0.172285
0		0.161049
0		0.157303
0		0.153558
0		0.149813
0		0.142322
0		0.138577
0		0.134831
0		0.131086
0		0.127341
0		0.11985
0		0.11236
0		0.108614
0		0.101124
0		0.097378
0		0.093633
0		0.089888
0		0.086142
0		0.082397
0		0.078652
0		0.074906
0		0.071161
0		0.067416
0		0.06367
0		0.059925
0		0.05618
0		0.052434
0		0.048689
0		0.044944
0		0.041199
0		0.037453
0		0.033708
0		0.029963
0		0.026217
0		0.022472
0		0.018727
0		0.014981
0		0.011236
0		0.007491
0		0
