x	y	c
0.10170896	-0.01206481	1
-0.01241966	0.47064905	1
0.44566504	0.94595998	1
-0.3569344	0.98319206	1
-0.43845037	0.88374167	1
1.01534178	0.06687469	1
0.2310607	0.01153495	1
1.35098772	-0.44520507	1
0.25423421	1.0205525 	1
-0.00586456	0.24919627	1
0.4752852	-0.37028432	1
1.68071768	-0.34775296	1
0.84564282	0.45629647	1
0.34218757	0.90613948	1
0.58741368	-0.35078742	1
-0.17818292	0.96641541	1
1.25865528	-0.4740009 	1
0.33542814	-0.18023343	1
0.52630774	0.94876068	1
0.6424051	0.77717105	1
0.15770292	0.04709417	1
1.11178863	-0.5065278 	1
0.60370903	0.83759912	1
1.48247118	-0.32721961	1
0.39793421	-0.36876588	1
1.67240934	-0.09328043	1
0.47551295	0.85547255	1
0.70605116	-0.42241887	1
1.56418943	-0.34860626	1
0.94012854	-0.57508877	1
0.61400301	0.83833823	1
-1.07139757	0.02669316	1
-0.91308996	0.52626435	1
-0.74824469	0.51823742	1
0.14688241	0.0297201 	1
0.94362014	-0.44829425	1
1.84489829	0.40601924	1
-0.66827347	0.69085682	1
-0.7362418	0.59951884	1
0.60146482	0.72551706	1
1.47437703	-0.37541022	1
-0.88760005	0.50864517	1
1.92892164	0.18201791	1
1.78673422	-0.27470711	1
1.95130228	0.26574549	1
0.33471666	0.98057089	1
-0.16884749	0.89206411	1
0.77063994	-0.51750338	1
-0.88700503	0.36696366	1
-0.62886492	0.79087211	1
-0.93006783	0.38754885	1
0.42447858	0.93268774	1
0.80861392	0.53599924	1
0.94000928	0.27111431	1
-0.01609181	0.37369612	1
-0.53633385	0.86026837	1
1.88281749	0.24435589	1
0.17575161	-0.007231  	1
0.12423604	1.00790161	1
1.62152568	-0.22328525	1
